account_id,platform,account_age_days,has_profile_picture,is_default_avatar,bio_length,has_bio,username_digit_ratio,username_length,follower_count,following_count,is_verified,profile_completeness,posts_per_day_avg,pct_posts_duplicate_content,avg_time_between_posts_min,device_fingerprint_diversity,is_fake
acct_000000,Instagram,185.18613635742884,1.0,0.0,53.83752666575831,1,0.249401666054061,8,127.40763864927646,475.1384739764901,0.0,0.6429742053737072,0.5220921473663322,0.2408897265858593,120.57627671042049,3,0
acct_000001,Instagram,250.70295321440835,1.0,0.0,73.65308374086644,1,0.3164075287431303,10,122.85700821491892,14.179881492359042,0.0,0.5584071093600604,11.092487514021936,0.3110315862761058,64.16727110616735,3,0
acct_000002,Twitter,57.08176093187745,1.0,0.0,37.17890363483629,1,0.1483444406899061,7,26.225607433994004,547.4924973632994,0.0,0.5272180051374076,5.009515816333164,0.234690036707614,38.39607183572764,3,0
acct_000003,Twitter,404.0,1.0,0.0,174.0,1,1.0,9,386.0,699.0,1.0,0.6492682721667885,0.466666667,0.910019427,3085.714283510204,2,1
acct_000004,Twitter,5717.0,1.0,0.0,155.0,1,0.0,13,854.7164779124142,0.0,0.0,0.8186136934029575,0.5561028800010637,,2589.4489163538333,2,0
acct_000005,Instagram,159.40176461584755,1.0,0.0,44.71606238028197,1,0.0250818862317896,12,314.11669884111154,214.80519010114185,0.0,0.6864784392597277,1.723440493988563,0.556763719418941,73.53637337685002,2,0
acct_000006,Twitter,,1.0,-0.0,0.0,0,,0,119.6951418548816,80.91732347219956,0.0,0.8897355305196701,,,,3,0
acct_000007,Facebook,3095.0,0.0,1.0,72.0,1,0.0,5,414.0,655.0,,0.6731294120927773,0.0610465116279069,0.8531092183924258,23588.57142857146,2,0
acct_000008,Twitter,2915.0,0.0,1.0,21.0,1,0.0,14,345.0,707.0,0.0,0.98884354613445,0.066186557,0.837113843,21756.683913925302,1,1
acct_000009,Twitter,6308.0,1.0,0.0,61.0,1,0.375,8,-0.0,232.902837317572,0.0,0.49008480055861425,0.0,,,3,0
acct_000010,Facebook,2117.0,0.0,1.0,25.0,1,1.0,12,395.0,692.0,0.0,0.47850799058913496,0.094428706,0.578513186,15249.600052763615,3,1
acct_000011,Twitter,4890.0,1.0,0.0,101.0,1,0.0,14,0.0,65.31747700307595,0.0,0.8491178460260563,0.0,,,3,1
acct_000012,Twitter,6216.0,1.0,-0.0,132.0,1,0.0,15,1331.010068989027,0.0,0.0,0.5936979795149809,0.03174900364352727,,45355.75403146787,4,0
acct_000013,X,2926.0,1.0,0.0,194.0,1,0.1111111111111111,9,386.0,681.0,1.0,0.589944469040698,0.0676460539801844,0.3852465406772353,21287.272727272753,2,1
acct_000014,Instagram,4214.0,,,39.0,1,0.5,8,427.0,643.0,1.0,0.8237488666986178,0.0555160142348754,0.0900190218521693,25938.46153846156,2,0
acct_000015,Instagram,505.1034327183696,1.0,0.0,76.54622454130006,1,0.1612995506594367,13,257.7585794634644,135.50461034491502,0.0,0.6256665477240096,9.739267592700113,0.2379874457910058,157.9474507124222,3,0
acct_000016,Twitter,313.3755640303102,1.0,0.0,0.0,0,0.2784750342107054,9,203.1545120421753,186.69109957243376,0.0,0.5201283003824602,4.420693406693873,0.5025753309413533,6.504961137749843,2,0
acct_000017,Twitter,5105.0,1.0,0.0,0.0,0,,0,0.0,0.0,0.0,0.33942959069295564,0.012836224487969838,,112182.51919398682,3,1
acct_000018,Instagram,957.2952779946736,1.0,0.0,0.0,0,0.2944573819731705,10,580.7879243307904,118.4927772197808,0.0,0.918330554674059,0.4562135572416014,0.1819594134306504,46.23179495803178,4,0
acct_000019,Twitter,5134.0,1.0,-0.0,0.0,0,0.0,10,64.76005261225123,-0.0,0.0,0.7361596524499725,0.014621243486755036,,98486.83535736578,4,1
acct_000020,TikTok,562.0745131674831,0.0,1.0,0.0,0,0.1730416887912353,7,259.0300792064229,540.3703884503418,0.0,0.8894555797062692,3.098325531695884,0.3612755651160114,314.86498313576084,2,0
acct_000021,Twitter,,1.0,0.0,0.0,0,0.0,7,0.0,0.0,0.0,0.5023110511246832,,,,1,1
acct_000022,Twitter,5106.0,1.0,0.0,20.0,1,0.0,7,-0.0,0.0,0.0,0.5776514666326303,-0.0,,,3,1
